"Date/Time","Internal Natural vent.","Sensible Cooling","Mech Vent + Nat Vent + Infiltration","External Infiltration","Total Cooling","Relative Humidity","Fanger PMV","Zone Heating","General Lighting","Computer + Equip","Occupancy","Solar Gains Interior Windows","Solar Gains Exterior Windows","Zone Sensible Heating","Zone Sensible Cooling","Air Temperature","Radiant Temperature","Operative Temperature","Room Electricity","Lighting","Electricity","Gas","Heating (Gas)","Cooling (Electricity)","DHW (Electricity)","Outside Dry-Bulb Temperature",
,"kW","kW","ac/h","kW","kW","%","","kW","kW","kW","kW","kW","kW","kW","kW","°C","°C","°C","kW","kW","kW","kW","kW","kW","kW","°C",
"04.01.2002 16:00:00","-1.56169","0","0.8055264","-65.93266","0","26.06948","-0.6404436","49.62705","169.7476","59.78532","49.08534","1.642673","32.32378","7.33886","-69.21748","21.28047","20.81968","21.05008","59.78532","169.7476","306.5338","58.38477","58.38477","0","77.00083","5.5625",
"04.01.2002 17:00:00","-1.681823","0","0.56789","-73.78291","0","25.61939","-0.660547","55.8697","169.7476","29.89266","24.54174","0.530635","18.20984","28.46138","-32.19162","21.2976","20.64953","20.97357","29.89266","169.7476","238.1407","65.72906","65.72906","0","38.50042","4.4875",
"04.01.2002 18:00:00","-1.780186","0","0.4501489","-79.00403","0","24.85221","-0.6833195","60.25347","169.7476","14.94633","12.26616","0","0","45.25289","-16.13095","21.31165","20.47795","20.8948","14.94633","169.7476","203.9442","70.88644","70.88644","0","19.25021","3.75",
"04.01.2002 19:00:00","-2.927788","0","0.2968962","-74.31202","0","24.20226","-0.6760681","48.29323","169.7476","7.473166","0","0","0","48.29323","0","21.45075","20.44591","20.94833","7.473166","169.7476","177.2208","56.81557","56.81557","0","0","3.2875",
"04.01.2002 20:00:00","-9.847307","0","0.2896139","-63.65634","0","27.11666","-0.8958762","0.713163","0","7.473166","0","0","0","0.7196676","0","19.51548","19.94829","19.73188","7.473166","0","7.473166","0.839015","0.839015","0","0","2.7875",
"04.01.2002 21:00:00","-9.187275","0","0.2806275","-59.56982","0","28.83794","-1.150202","13.53927","0","7.473166","0","0","0","13.54948","0","18.3858","19.46864","18.92722","7.473166","0","7.473166","15.92855","15.92855","0","0","2.35",
"04.01.2002 22:00:00","-7.825651","0","0.2814712","-61.24773","0","29.23033","-1.235264","20.96477","0","7.473166","0","0","0","20.96477","0","18.10666","19.19774","18.6522","7.473166","0","7.473166","24.66443","24.66443","0","0","1.8875",
"04.01.2002 23:00:00","-7.224617","0","0.2845218","-63.46751","0","29.2986","-1.276182","26.18499","0","7.473166","0","0","0","26.18499","0","17.96032","19.0202","18.49026","7.473166","0","7.473166","30.80586","30.80586","0","0","1.45",
"05.01.2002","-6.742531","0","0.2877245","-65.96517","0","29.3063","-1.305942","31.73278","0","7.473166","0","0","0","31.73293","0","17.8661","18.8831","18.3746","7.473166","0","7.473166","37.33269","37.33269","0","0","0.9875",
"05.01.2002 01:00:00","-6.285578","0","0.2898658","-67.18507","0","29.23321","-1.327362","35.77599","0","7.473166","0","0","0","35.77599","0","17.80512","18.76908","18.2871","7.473166","0","7.473166","42.08939","42.08939","0","0","0.8",
"05.01.2002 02:00:00","-5.870256","0","0.2907606","-67.6093","0","28.58095","-1.34794","38.50622","0","7.473166","0","0","0","38.50622","0","17.75476","18.67072","18.21274","7.473166","0","7.473166","45.30144","45.30144","0","0","0.7375",
"05.01.2002 03:00:00","-5.491061","0","0.2901003","-67.57107","0","27.8282","-1.367174","40.41395","0","7.473166","0","0","0","40.41395","0","17.71256","18.58472","18.14864","7.473166","0","7.473166","47.54583","47.54583","0","0","0.7",
"05.01.2002 04:00:00","-5.152967","0","0.2891294","-67.30771","0","27.18251","-1.384325","41.89563","0","7.473166","0","0","0","41.89563","0","17.67557","18.50592","18.09074","7.473166","0","7.473166","49.28897","49.28897","0","0","0.7",
"05.01.2002 05:00:00","-4.833365","0","0.2883549","-67.09042","0","26.59552","-1.400684","43.34064","0","7.473166","0","0","0","43.34064","0","17.63987","18.42919","18.03453","7.473166","0","7.473166","50.98899","50.98899","0","0","0.7",
"05.01.2002 06:00:00","-0.19016","0","0.3128608","-88.56539","0","21.54262","-1.072727","250.6935","0","7.473166","0","0","0","239.0103","0","20.86501","18.65222","19.75861","7.473166","0","7.473166","294.9335","294.9335","0","0","0.7",
"05.01.2002 07:00:00","0.000078","0","0.3184241","-90.72207","0","21.37958","-0.9202616","175.2939","0","7.473166","0","0","0","175.2941","0","21","18.89677","19.94839","7.473166","0","7.473166","206.2282","206.2282","0","0","0.7",
